date,sma_10,sma_50,sma_200,mom_1,mom_20,mom_50,rsi_7,rsi_14,slowd,slowk,dema_10,dema_50,adx,cci_10,cci_20,aroon up,aroon down,mfi,chaikin a/d,obv
2012-03-08,22.644,20.7742,26.269,0.81,2.05,3.99,72.0338,65.5979,80.6417,82.8128,23.4099,21.6818,20.1552,126.1261,147.4828,100.0,64.2857,72.9569,23037085.9459,37323300.0
2012-03-09,22.721,20.8538,26.1922,-0.48,1.33,3.98,61.6037,60.8129,81.6474,83.3853,23.5101,21.8213,20.733,89.4548,113.4964,92.8571,57.1429,70.0291,22496508.3948,36607400.0
2012-03-12,22.799,20.9166,26.1319,-0.53,1.67,3.14,51.9194,55.9592,81.682,78.848,23.4006,21.9118,20.4286,36.5167,63.8535,85.7143,50.0,62.0019,21956349.5713,35927200.0
2012-03-13,22.948,20.9966,26.0755,0.56,2.56,4.0,59.7242,59.6259,78.944,74.5987,23.4972,22.04,20.4946,68.5015,95.9298,78.5714,42.8571,73.1362,21704307.7716,37878400.0
2012-03-14,23.228,21.0846,26.0238,0.6,2.6,4.4,66.518,63.1646,77.9676,80.4562,23.7603,22.2067,20.8718,108.7285,125.1168,100.0,35.7143,74.4537,23334507.7716,40052000.0
2012-03-15,23.465,21.1692,25.9764,-0.13,2.399,4.23,63.7978,61.8987,81.7164,90.0943,23.9047,22.3535,21.2221,104.7601,121.9247,92.8571,28.5714,74.3658,23639890.6288,38864400.0
2012-03-16,23.607,21.2798,25.9385,0.71,2.97,5.53,71.2812,65.9163,88.9211,96.2129,24.2382,22.5461,22.1574,157.5713,155.5174,100.0,21.4286,79.0121,25656619.1091,41175900.0
2012-03-19,23.737,21.3838,25.8934,-0.19,2.43,5.2,66.9598,63.9723,93.6105,94.5244,24.4132,22.7125,23.1063,127.5848,145.6805,100.0,14.2857,84.0924,25903377.6457,39730600.0
2012-03-20,23.827,21.4922,25.846,-0.46,0.46,5.42,57.1702,59.4044,93.7038,90.374,24.3809,22.8335,23.0395,36.0891,85.2936,92.8571,7.1429,86.185,26067001.5587,38894300.0
2012-03-21,23.934,21.6018,25.7959,0.18,1.58,5.48,59.8499,60.5903,89.7412,84.3253,24.4072,22.9609,23.1595,64.3531,94.0582,85.7143,0.0,90.8587,26121294.2425,39340000.0
2012-03-22,23.914,21.6996,25.7397,-0.46,0.78,4.89,50.4405,56.0817,82.0548,71.4652,24.2662,23.0451,22.9333,-21.0042,51.5882,78.5714,0.0,87.4544,25995768.8266,38813300.0
2012-03-23,23.968,21.7958,25.6933,0.26,1.31,4.81,55.0958,57.9847,73.5083,64.7345,24.2407,23.1438,22.7246,-5.2787,55.8174,71.4286,0.0,86.1093,26741968.8266,39772700.0
2012-03-26,24.102,21.9004,25.6507,0.27,2.12,5.23,59.684,59.9266,66.0402,61.9208,24.3052,23.2571,23.0147,55.1585,79.4076,64.2857,0.0,86.2837,27495897.3981,41883700.0
2012-03-27,24.247,22.0274,25.6163,0.67,2.94,6.35,68.8873,64.3321,67.3999,75.5444,24.5691,23.4147,23.9319,150.3974,119.889,100.0,21.4286,86.9063,29660556.2216,44788900.0
2012-03-28,24.337,22.1614,25.5847,0.05,3.7,6.7,69.4937,64.6445,74.3864,85.694,24.7748,23.5665,24.9082,158.2634,145.8003,100.0,14.2857,86.7692,30035044.4569,46911000.0
2012-03-29,24.475,22.298,25.5534,0.35,3.75,6.83,73.6822,66.8341,85.1663,94.2604,25.0357,23.7356,26.0071,145.8493,170.1399,100.0,7.1429,90.664,31385208.0932,48561200.0
